year,GEOID,state,county,borough,tract,median_income,race_total,white_alone,black_alone,asian_alone,pct_white,pct_black,pct_asian,eth_total,hispanic_any,pct_hispanic,pop_total,under5,age65plus,pct_under5,pct_65plus,hh_total,owner_occ,renter_occ,pct_owner,pct_renter
2023,36005000100,36,005,Bronx,000100,-666666666,3538,1393,1610,79,39.373,45.506,2.233,3538,866,24.477,3538,0,83,0.0,2.346,0,0,0,,
2023,36005000200,36,005,Bronx,000200,121171,5177,782,1671,311,15.105,32.277,6.007,5177,3198,61.773,5177,261,715,5.042,13.811,1446,864,582,59.751,40.249
2023,36005000400,36,005,Bronx,000400,98242,6481,532,2767,19,8.209,42.694,0.293,6481,3483,53.742,6481,256,865,3.95,13.347,2246,1376,870,61.264,38.736
2023,36005001600,36,005,Bronx,001600,42957,6011,260,2357,282,4.325,39.211,4.691,6011,3299,54.883,6011,232,1243,3.86,20.679,2149,496,1653,23.081,76.919
2023,36005001901,36,005,Bronx,001901,67361,2401,513,1154,12,21.366,48.063,0.5,2401,1085,45.19,2401,208,35,8.663,1.458,1092,0,1092,0.0,100.0
2023,36005001902,36,005,Bronx,001902,76429,1979,115,423,23,5.811,21.374,1.162,1979,961,48.56,1979,122,70,6.165,3.537,566,111,455,19.611,80.389
2023,36005001903,36,005,Bronx,001903,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2023,36005001904,36,005,Bronx,001904,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2023,36005002001,36,005,Bronx,002001,23208,4300,626,1775,0,14.558,41.279,0.0,4300,2142,49.814,4300,204,607,4.744,14.116,1726,0,1726,0.0,100.0
2023,36005002002,36,005,Bronx,002002,18029,3689,596,1069,0,16.156,28.978,0.0,3689,2730,74.004,3689,221,1204,5.991,32.638,1832,413,1419,22.544,77.456
2023,36005002300,36,005,Bronx,002300,18750,4527,456,1695,0,10.073,37.442,0.0,4527,3179,70.223,4527,227,598,5.014,13.21,1917,0,1917,0.0,100.0
2023,36005002400,36,005,Bronx,002400,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2023,36005002500,36,005,Bronx,002500,27207,5460,1056,1540,0,19.341,28.205,0.0,5460,3835,70.238,5460,440,494,8.059,9.048,1903,158,1745,8.303,91.697
2023,36005002701,36,005,Bronx,002701,18788,2830,150,906,27,5.3,32.014,0.954,2830,2176,76.89,2830,175,487,6.184,17.208,1167,27,1140,2.314,97.686
2023,36005002702,36,005,Bronx,002702,31379,5156,235,1857,0,4.558,36.016,0.0,5156,3573,69.298,5156,468,388,9.077,7.525,1508,129,1379,8.554,91.446
2023,36005002800,36,005,Bronx,002800,66235,5420,591,3514,0,10.904,64.834,0.0,5420,2144,39.557,5420,401,900,7.399,16.605,2717,336,2381,12.367,87.633
2023,36005003100,36,005,Bronx,003100,43480,2641,393,1053,343,14.881,39.871,12.988,2641,1397,52.897,2641,174,176,6.588,6.664,1104,114,990,10.326,89.674
2023,36005003300,36,005,Bronx,003300,37957,3407,262,1395,0,7.69,40.945,0.0,3407,2137,62.724,3407,295,436,8.659,12.797,1225,178,1047,14.531,85.469
2023,36005003500,36,005,Bronx,003500,34508,3529,289,1391,24,8.189,39.416,0.68,3529,2739,77.614,3529,185,375,5.242,10.626,1483,73,1410,4.922,95.078
