year,GEOID,state,county,borough,tract,median_income,race_total,white_alone,black_alone,asian_alone,pct_white,pct_black,pct_asian,eth_total,hispanic_any,pct_hispanic,pop_total,under5,age65plus,pct_under5,pct_65plus,hh_total,owner_occ,renter_occ,pct_owner,pct_renter
2020,36005005200,36,005,Bronx,005200,19245,1879,198,677,0,10.538,36.03,0.0,1879,1316,70.037,1879,161,257,8.568,13.677,828,66,762,7.971,92.029
2020,36005005300,36,005,Bronx,005300,18015,5142,479,3023,0,9.315,58.79,0.0,5142,2395,46.577,5142,655,281,12.738,5.465,1786,0,1786,0.0,100.0
2020,36005005400,36,005,Bronx,005400,38005,5354,258,1515,154,4.819,28.297,2.876,5354,3721,69.499,5354,642,615,11.991,11.487,1713,281,1432,16.404,83.596
2020,36005005600,36,005,Bronx,005600,33625,2113,329,394,40,15.57,18.646,1.893,2113,1506,71.273,2113,104,542,4.922,25.651,886,189,697,21.332,78.668
2020,36005005902,36,005,Bronx,005902,31653,2635,554,732,15,21.025,27.78,0.569,2635,1638,62.163,2635,126,472,4.782,17.913,1109,312,797,28.133,71.867
2020,36005006000,36,005,Bronx,006000,38871,1266,341,189,31,26.935,14.929,2.449,1266,1127,89.021,1266,64,191,5.055,15.087,370,56,314,15.135,84.865
2020,36005006100,36,005,Bronx,006100,51799,3985,423,3305,0,10.615,82.936,0.0,3985,672,16.863,3985,170,939,4.266,23.563,2071,854,1217,41.236,58.764
2020,36005006200,36,005,Bronx,006200,28614,6995,762,1351,119,10.893,19.314,1.701,6995,5590,79.914,6995,215,850,3.074,12.152,2506,86,2420,3.432,96.568
2020,36005006301,36,005,Bronx,006301,48111,4741,1487,1291,116,31.365,27.231,2.447,4741,2848,60.072,4741,423,342,8.922,7.214,1941,329,1612,16.95,83.05
2020,36005006302,36,005,Bronx,006302,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2020,36005006400,36,005,Bronx,006400,33207,3949,625,1242,204,15.827,31.451,5.166,3949,2215,56.09,3949,279,635,7.065,16.08,1389,345,1044,24.838,75.162
2020,36005006500,36,005,Bronx,006500,22409,5394,1593,2001,89,29.533,37.097,1.65,5394,3444,63.849,5394,742,276,13.756,5.117,1921,55,1866,2.863,97.137
2020,36005006700,36,005,Bronx,006700,17894,6682,380,1477,0,5.687,22.104,0.0,6682,5379,80.5,6682,405,621,6.061,9.294,2468,100,2368,4.052,95.948
2020,36005006800,36,005,Bronx,006800,41875,3147,103,651,693,3.273,20.686,22.021,3147,1685,53.543,3147,212,586,6.737,18.621,978,251,727,25.665,74.335
2020,36005006900,36,005,Bronx,006900,33721,7370,982,2445,27,13.324,33.175,0.366,7370,5054,68.575,7370,576,934,7.815,12.673,2844,233,2611,8.193,91.807
2020,36005007000,36,005,Bronx,007000,50643,4469,842,976,624,18.841,21.839,13.963,4469,2159,48.311,4469,361,524,8.078,11.725,1285,321,964,24.981,75.019
2020,36005007100,36,005,Bronx,007100,44000,2877,399,1191,70,13.869,41.397,2.433,2877,1694,58.881,2877,309,218,10.74,7.577,1074,373,701,34.73,65.27
2020,36005007200,36,005,Bronx,007200,44720,6448,687,1140,2305,10.654,17.68,35.748,6448,2743,42.54,6448,562,843,8.716,13.074,1729,400,1329,23.135,76.865
2020,36005007300,36,005,Bronx,007300,20895,4229,1133,1219,0,26.791,28.825,0.0,4229,2990,70.702,4229,360,269,8.513,6.361,1434,20,1414,1.395,98.605
2020,36005007400,36,005,Bronx,007400,40625,3494,1171,1182,0,33.515,33.829,0.0,3494,2346,67.144,3494,152,613,4.35,17.544,1330,566,764,42.556,57.444
2020,36005007500,36,005,Bronx,007500,27530,6345,1152,2265,45,18.156,35.697,0.709,6345,4454,70.197,6345,446,674,7.029,10.623,2235,413,1822,18.479,81.521
2020,36005007600,36,005,Bronx,007600,49494,5136,641,1402,497,12.481,27.298,9.677,5136,3057,59.521,5136,456,658,8.879,12.812,1780,468,1312,26.292,73.708
2020,36005007700,36,005,Bronx,007700,48177,2037,446,690,29,21.895,33.873,1.424,2037,1602,78.645,2037,166,172,8.149,8.444,575,173,402,30.087,69.913
2020,36005007800,36,005,Bronx,007800,61795,7160,1746,2266,653,24.385,31.648,9.12,7160,4146,57.905,7160,491,614,6.858,8.575,2211,519,1692,23.474,76.526
2020,36005007900,36,005,Bronx,007900,31083,6795,737,2666,0,10.846,39.235,0.0,6795,4586,67.491,6795,581,450,8.55,6.623,2345,51,2294,2.175,97.825
2020,36005008300,36,005,Bronx,008300,39845,5948,910,1839,0,15.299,30.918,0.0,5948,4764,80.094,5948,389,558,6.54,9.381,2187,344,1843,15.729,84.271
2020,36005008400,36,005,Bronx,008400,62885,3017,814,818,314,26.98,27.113,10.408,3017,1783,59.098,3017,221,493,7.325,16.341,982,710,272,72.301,27.699
2020,36005008500,36,005,Bronx,008500,28937,5416,818,1603,46,15.103,29.597,0.849,5416,3880,71.64,5416,423,470,7.81,8.678,2128,335,1793,15.742,84.258
2020,36005008600,36,005,Bronx,008600,21063,3757,1312,1553,22,34.921,41.336,0.586,3757,2059,54.804,3757,279,568,7.426,15.118,1537,273,1264,17.762,82.238
2020,36005008700,36,005,Bronx,008700,24510,6230,555,1609,28,8.909,25.827,0.449,6230,4706,75.538,6230,399,544,6.404,8.732,2056,65,1991,3.161,96.839
2020,36005008900,36,005,Bronx,008900,24836,2998,565,642,0,18.846,21.414,0.0,2998,2526,84.256,2998,137,564,4.57,18.813,1217,97,1120,7.97,92.03
2020,36005009000,36,005,Bronx,009000,29028,3574,1228,934,163,34.359,26.133,4.561,3574,2527,70.705,3574,337,459,9.429,12.843,1178,247,931,20.968,79.032
2020,36005009200,36,005,Bronx,009200,48326,6005,888,1153,1051,14.788,19.201,17.502,6005,3425,57.036,6005,550,516,9.159,8.593,1879,476,1403,25.333,74.667
2020,36005009301,36,005,Bronx,009301,39093,5343,746,1966,1,13.962,36.796,0.019,5343,3614,67.64,5343,512,361,9.583,6.757,1684,114,1570,6.77,93.23
2020,36005009302,36,005,Bronx,009302,-666666666,579,115,279,14,19.862,48.187,2.418,579,240,41.451,579,0,7,0.0,1.209,0,0,0,,
2020,36005009600,36,005,Bronx,009600,52016,2794,599,647,527,21.439,23.157,18.862,2794,1374,49.177,2794,140,597,5.011,21.367,800,271,529,33.875,66.125
2020,36005009800,36,005,Bronx,009800,66875,5019,1944,1154,155,38.733,22.993,3.088,5019,3041,60.59,5019,139,1293,2.769,25.762,1595,673,922,42.194,57.806
2020,36005011000,36,005,Bronx,011000,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2020,36005011502,36,005,Bronx,011502,21375,4297,499,2025,10,11.613,47.126,0.233,4297,2566,59.716,4297,365,367,8.494,8.541,1348,78,1270,5.786,94.214
2020,36005011701,36,005,Bronx,011701,35278,1360,243,663,0,17.868,48.75,0.0,1360,853,62.721,1360,131,211,9.632,15.515,474,23,451,4.852,95.148
2020,36005011702,36,005,Bronx,011702,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2020,36005011800,36,005,Bronx,011800,82266,5645,3920,464,232,69.442,8.22,4.11,5645,2093,37.077,5645,302,683,5.35,12.099,1596,974,622,61.028,38.972
2020,36005011900,36,005,Bronx,011900,30417,5399,611,1744,13,11.317,32.302,0.241,5399,3544,65.642,5399,297,520,5.501,9.631,1763,101,1662,5.729,94.271
2020,36005012101,36,005,Bronx,012101,43472,3072,312,1033,12,10.156,33.626,0.391,3072,2079,67.676,3072,254,240,8.268,7.812,941,227,714,24.123,75.877
2020,36005012102,36,005,Bronx,012102,23750,1338,123,360,0,9.193,26.906,0.0,1338,1064,79.522,1338,62,146,4.634,10.912,533,12,521,2.251,97.749
2020,36005012300,36,005,Bronx,012300,36375,4371,347,2069,15,7.939,47.335,0.343,4371,2545,58.225,4371,383,492,8.762,11.256,1510,145,1365,9.603,90.397
2020,36005012500,36,005,Bronx,012500,36947,3859,425,1150,8,11.013,29.8,0.207,3859,2686,69.604,3859,258,303,6.686,7.852,1260,305,955,24.206,75.794
2020,36005012701,36,005,Bronx,012701,38000,2046,324,464,35,15.836,22.678,1.711,2046,1536,75.073,2046,181,208,8.847,10.166,732,150,582,20.492,79.508
2020,36005012901,36,005,Bronx,012901,29297,4677,691,1766,5,14.774,37.759,0.107,4677,2916,62.348,4677,354,479,7.569,10.242,1590,90,1500,5.66,94.34
2020,36005013000,36,005,Bronx,013000,78125,1462,798,102,0,54.583,6.977,0.0,1462,899,61.491,1462,122,161,8.345,11.012,461,281,180,60.954,39.046
2020,36005013100,36,005,Bronx,013100,26620,5221,1040,2420,0,19.92,46.351,0.0,5221,3445,65.984,5221,302,464,5.784,8.887,2098,214,1884,10.2,89.8
2020,36005013200,36,005,Bronx,013200,125486,7367,3129,1670,497,42.473,22.669,6.746,7367,4200,57.011,7367,485,985,6.583,13.37,2596,1662,934,64.022,35.978
2020,36005013300,36,005,Bronx,013300,41675,5785,738,1920,296,12.757,33.189,5.117,5785,3712,64.166,5785,189,595,3.267,10.285,2276,167,2109,7.337,92.663
