year,GEOID,state,county,borough,tract,median_income,race_total,white_alone,black_alone,asian_alone,pct_white,pct_black,pct_asian,eth_total,hispanic_any,pct_hispanic,pop_total,under5,age65plus,pct_under5,pct_65plus,hh_total,owner_occ,renter_occ,pct_owner,pct_renter
2022,36005000100,36,005,Bronx,000100,-666666666,4446,1898,2064,123,42.69,46.424,2.767,4446,1172,26.361,4446,0,31,0.0,0.697,0,0,0,,
2022,36005000200,36,005,Bronx,000200,115064,4870,750,1473,299,15.4,30.246,6.14,4870,3109,63.84,4870,224,812,4.6,16.674,1425,858,567,60.211,39.789
2022,36005000400,36,005,Bronx,000400,100553,6257,790,1897,192,12.626,30.318,3.069,6257,4212,67.317,6257,256,828,4.091,13.233,2309,1409,900,61.022,38.978
2022,36005001600,36,005,Bronx,001600,41362,6177,551,2292,148,8.92,37.105,2.396,6177,3507,56.775,6177,301,1269,4.873,20.544,2205,454,1751,20.59,79.41
2022,36005001901,36,005,Bronx,001901,49500,2181,466,1125,0,21.366,51.582,0.0,2181,842,38.606,2181,191,19,8.757,0.871,940,0,940,0.0,100.0
2022,36005001902,36,005,Bronx,001902,67375,1883,254,426,27,13.489,22.623,1.434,1883,876,46.522,1883,123,83,6.532,4.408,468,71,397,15.171,84.829
2022,36005001903,36,005,Bronx,001903,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2022,36005001904,36,005,Bronx,001904,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2022,36005002001,36,005,Bronx,002001,24684,4461,565,2106,0,12.665,47.209,0.0,4461,2309,51.76,4461,233,562,5.223,12.598,1774,0,1774,0.0,100.0
2022,36005002002,36,005,Bronx,002002,-666666666,3915,698,1146,0,17.829,29.272,0.0,3915,2850,72.797,3915,164,891,4.189,22.759,1868,498,1370,26.66,73.34
2022,36005002300,36,005,Bronx,002300,19743,4528,490,1936,0,10.822,42.756,0.0,4528,2972,65.636,4528,263,577,5.808,12.743,1923,0,1923,0.0,100.0
2022,36005002400,36,005,Bronx,002400,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2022,36005002500,36,005,Bronx,002500,27378,5642,1051,1562,0,18.628,27.685,0.0,5642,4146,73.485,5642,428,574,7.586,10.174,1944,101,1843,5.195,94.805
2022,36005002701,36,005,Bronx,002701,21427,3335,177,1242,16,5.307,37.241,0.48,3335,2386,71.544,3335,394,412,11.814,12.354,1159,23,1136,1.984,98.016
2022,36005002702,36,005,Bronx,002702,29206,5000,214,1602,0,4.28,32.04,0.0,5000,3578,71.56,5000,415,336,8.3,6.72,1530,39,1491,2.549,97.451
2022,36005002800,36,005,Bronx,002800,64308,5230,468,3463,0,8.948,66.214,0.0,5230,1840,35.182,5230,288,965,5.507,18.451,2542,236,2306,9.284,90.716
2022,36005003100,36,005,Bronx,003100,41370,2559,434,977,326,16.96,38.179,12.739,2559,1469,57.405,2559,159,167,6.213,6.526,1031,131,900,12.706,87.294
2022,36005003300,36,005,Bronx,003300,24122,3559,469,1314,0,13.178,36.92,0.0,3559,2297,64.541,3559,146,401,4.102,11.267,1220,162,1058,13.279,86.721
2022,36005003500,36,005,Bronx,003500,34185,3899,673,1598,0,17.261,40.985,0.0,3899,2980,76.43,3899,228,283,5.848,7.258,1478,58,1420,3.924,96.076
2022,36005003700,36,005,Bronx,003700,-666666666,331,45,136,0,13.595,41.088,0.0,331,265,80.06,331,26,46,7.855,13.897,188,0,188,0.0,100.0
2022,36005003800,36,005,Bronx,003800,88077,1182,466,200,36,39.425,16.92,3.046,1182,954,80.711,1182,116,194,9.814,16.413,366,152,214,41.53,58.47
2022,36005003900,36,005,Bronx,003900,20640,6227,829,346,81,13.313,5.556,1.301,6227,5765,92.581,6227,166,919,2.666,14.758,2330,83,2247,3.562,96.438
2022,36005004001,36,005,Bronx,004001,70536,1409,205,194,343,14.549,13.769,24.344,1409,800,56.778,1409,14,272,0.994,19.304,529,236,293,44.612,55.388
2022,36005004100,36,005,Bronx,004100,27328,6583,1059,2710,56,16.087,41.167,0.851,6583,4601,69.892,6583,656,623,9.965,9.464,2444,184,2260,7.529,92.471
2022,36005004200,36,005,Bronx,004200,52423,8179,1463,3678,22,17.887,44.969,0.269,8179,6044,73.897,8179,985,974,12.043,11.909,2922,342,2580,11.704,88.296
2022,36005004300,36,005,Bronx,004300,34890,5627,868,1742,0,15.426,30.958,0.0,5627,4031,71.637,5627,412,535,7.322,9.508,2213,296,1917,13.376,86.624
2022,36005004400,36,005,Bronx,004400,17319,4592,445,1745,159,9.691,38.001,3.463,4592,2911,63.393,4592,405,641,8.82,13.959,1610,65,1545,4.037,95.963
2022,36005004600,36,005,Bronx,004600,17083,1763,385,559,0,21.838,31.707,0.0,1763,1217,69.03,1763,204,243,11.571,13.783,672,116,556,17.262,82.738
2022,36005004800,36,005,Bronx,004800,34436,4261,386,922,102,9.059,21.638,2.394,4261,3453,81.037,4261,435,365,10.209,8.566,1523,113,1410,7.42,92.58
2022,36005005001,36,005,Bronx,005001,34087,4565,136,1517,114,2.979,33.231,2.497,4565,2951,64.644,4565,399,410,8.74,8.981,1377,168,1209,12.2,87.8
2022,36005005002,36,005,Bronx,005002,36598,6466,197,1670,0,3.047,25.827,0.0,6466,4801,74.25,6466,712,514,11.011,7.949,1936,147,1789,7.593,92.407
