year,GEOID,state,county,borough,tract,median_income,race_total,white_alone,black_alone,asian_alone,pct_white,pct_black,pct_asian,eth_total,hispanic_any,pct_hispanic,pop_total,under5,age65plus,pct_under5,pct_65plus,hh_total,owner_occ,renter_occ,pct_owner,pct_renter
2021,36005000100,36,005,Bronx,000100,-666666666,6661,2680,3272,177,40.234,49.122,2.657,6661,2166,32.518,6661,0,90,0.0,1.351,0,0,0,,
2021,36005000200,36,005,Bronx,000200,70867,4453,1235,1262,160,27.734,28.34,3.593,4453,3180,71.413,4453,241,826,5.412,18.549,1392,764,628,54.885,45.115
2021,36005000400,36,005,Bronx,000400,98090,6000,1809,1472,177,30.15,24.533,2.95,6000,4386,73.1,6000,180,933,3.0,15.55,2199,1505,694,68.44,31.56
2021,36005001600,36,005,Bronx,001600,40033,6038,996,2322,65,16.496,38.456,1.077,6038,3364,55.714,6038,263,1157,4.356,19.162,2187,356,1831,16.278,83.722
2021,36005001901,36,005,Bronx,001901,55924,2168,664,868,0,30.627,40.037,0.0,2168,1155,53.275,2168,188,33,8.672,1.522,885,0,885,0.0,100.0
2021,36005001902,36,005,Bronx,001902,60804,1399,291,436,55,20.801,31.165,3.931,1399,650,46.462,1399,99,66,7.076,4.718,376,78,298,20.745,79.255
2021,36005001903,36,005,Bronx,001903,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2021,36005001904,36,005,Bronx,001904,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2021,36005002001,36,005,Bronx,002001,20870,4694,507,2745,0,10.801,58.479,0.0,4694,2534,53.984,4694,486,506,10.354,10.78,1759,0,1759,0.0,100.0
2021,36005002002,36,005,Bronx,002002,-666666666,4274,950,843,0,22.227,19.724,0.0,4274,3494,81.75,4274,231,718,5.405,16.799,1904,539,1365,28.309,71.691
2021,36005002300,36,005,Bronx,002300,22177,4465,699,1567,0,15.655,35.095,0.0,4465,3200,71.669,4465,205,578,4.591,12.945,1918,0,1918,0.0,100.0
2021,36005002400,36,005,Bronx,002400,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2021,36005002500,36,005,Bronx,002500,25954,5662,1142,1472,0,20.17,25.998,0.0,5662,4072,71.918,5662,470,474,8.301,8.372,1919,47,1872,2.449,97.551
2021,36005002701,36,005,Bronx,002701,18686,2938,184,1065,0,6.263,36.249,0.0,2938,2155,73.349,2938,355,435,12.083,14.806,1119,39,1080,3.485,96.515
2021,36005002702,36,005,Bronx,002702,14681,4413,374,1606,0,8.475,36.392,0.0,4413,2838,64.31,4413,479,338,10.854,7.659,1524,0,1524,0.0,100.0
2021,36005002800,36,005,Bronx,002800,54321,5372,464,3574,0,8.637,66.53,0.0,5372,1954,36.374,5372,451,930,8.395,17.312,2451,327,2124,13.341,86.659
2021,36005003100,36,005,Bronx,003100,34276,2165,339,724,285,15.658,33.441,13.164,2165,1416,65.404,2165,98,140,4.527,6.467,893,121,772,13.55,86.45
2021,36005003300,36,005,Bronx,003300,20129,3339,268,1313,0,8.026,39.323,0.0,3339,2114,63.312,3339,106,313,3.175,9.374,1237,96,1141,7.761,92.239
2021,36005003500,36,005,Bronx,003500,30793,3880,584,1702,0,15.052,43.866,0.0,3880,2799,72.139,3880,226,331,5.825,8.531,1469,41,1428,2.791,97.209
2021,36005003700,36,005,Bronx,003700,37321,277,24,140,0,8.664,50.542,0.0,277,202,72.924,277,15,28,5.415,10.108,158,0,158,0.0,100.0
2021,36005003800,36,005,Bronx,003800,83295,1313,706,355,31,53.77,27.037,2.361,1313,938,71.439,1313,120,241,9.139,18.355,343,146,197,42.566,57.434
2021,36005003900,36,005,Bronx,003900,20049,6710,1193,1094,11,17.779,16.304,0.164,6710,5612,83.636,6710,491,710,7.317,10.581,2264,43,2221,1.899,98.101
2021,36005004001,36,005,Bronx,004001,64087,1574,244,269,408,15.502,17.09,25.921,1574,778,49.428,1574,85,239,5.4,15.184,497,188,309,37.827,62.173
2021,36005004100,36,005,Bronx,004100,20551,5798,977,2256,0,16.851,38.91,0.0,5798,4055,69.938,5798,617,629,10.642,10.849,2318,190,2128,8.197,91.803
2021,36005004200,36,005,Bronx,004200,57250,7803,1918,3201,15,24.58,41.023,0.192,7803,5581,71.524,7803,716,837,9.176,10.727,2856,347,2509,12.15,87.85
2021,36005004300,36,005,Bronx,004300,25534,5527,1130,1666,0,20.445,30.143,0.0,5527,4143,74.959,5527,401,542,7.255,9.806,2179,241,1938,11.06,88.94
2021,36005004400,36,005,Bronx,004400,15750,4551,465,1674,164,10.218,36.783,3.604,4551,2702,59.372,4551,459,619,10.086,13.601,1616,43,1573,2.661,97.339
2021,36005004600,36,005,Bronx,004600,29145,1826,470,672,0,25.739,36.802,0.0,1826,1152,63.089,1826,232,290,12.705,15.882,658,80,578,12.158,87.842
2021,36005004800,36,005,Bronx,004800,33500,4464,298,1049,157,6.676,23.499,3.517,4464,3441,77.083,4464,484,346,10.842,7.751,1504,126,1378,8.378,91.622
2021,36005005001,36,005,Bronx,005001,28353,4304,165,1373,92,3.834,31.901,2.138,4304,2868,66.636,4304,379,372,8.806,8.643,1328,117,1211,8.81,91.19
2021,36005005002,36,005,Bronx,005002,34013,6393,349,1725,0,5.459,26.983,0.0,6393,4757,74.41,6393,634,506,9.917,7.915,1946,139,1807,7.143,92.857
2021,36005005100,36,005,Bronx,005100,19731,6087,923,2838,0,15.163,46.624,0.0,6087,3742,61.475,6087,392,829,6.44,13.619,2186,63,2123,2.882,97.118
2021,36005005200,36,005,Bronx,005200,21397,1833,202,786,0,11.02,42.881,0.0,1833,1231,67.158,1833,100,245,5.456,13.366,825,55,770,6.667,93.333
2021,36005005300,36,005,Bronx,005300,20449,5472,323,3284,0,5.903,60.015,0.0,5472,2509,45.852,5472,706,285,12.902,5.208,1664,0,1664,0.0,100.0
2021,36005005400,36,005,Bronx,005400,45625,5638,160,1440,147,2.838,25.541,2.607,5638,4016,71.231,5638,811,628,14.385,11.139,1736,244,1492,14.055,85.945
2021,36005005600,36,005,Bronx,005600,40341,2168,177,459,157,8.164,21.172,7.242,2168,1388,64.022,2168,133,443,6.135,20.434,883,181,702,20.498,79.502
2021,36005005902,36,005,Bronx,005902,44917,2730,477,749,28,17.473,27.436,1.026,2730,1672,61.245,2730,104,506,3.81,18.535,1172,371,801,31.655,68.345
2021,36005006000,36,005,Bronx,006000,34239,1295,313,145,21,24.17,11.197,1.622,1295,1228,94.826,1295,128,227,9.884,17.529,380,56,324,14.737,85.263
2021,36005006100,36,005,Bronx,006100,60685,3955,412,3178,28,10.417,80.354,0.708,3955,752,19.014,3955,195,816,4.93,20.632,2059,956,1103,46.43,53.57
2021,36005006200,36,005,Bronx,006200,24769,6710,610,2128,0,9.091,31.714,0.0,6710,4660,69.449,6710,155,901,2.31,13.428,2550,101,2449,3.961,96.039
2021,36005006301,36,005,Bronx,006301,50273,5521,1375,1966,121,24.905,35.609,2.192,5521,3059,55.407,5521,249,406,4.51,7.354,2110,416,1694,19.716,80.284
2021,36005006302,36,005,Bronx,006302,-666666666,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,
2021,36005006400,36,005,Bronx,006400,35144,4061,446,1390,54,10.983,34.228,1.33,4061,2263,55.725,4061,232,639,5.713,15.735,1329,293,1036,22.047,77.953
2021,36005006500,36,005,Bronx,006500,21962,5681,2005,2091,125,35.293,36.807,2.2,5681,3230,56.856,5681,854,323,15.033,5.686,2055,81,1974,3.942,96.058
2021,36005006700,36,005,Bronx,006700,15957,6993,467,1485,0,6.678,21.236,0.0,6993,5651,80.809,6993,505,742,7.222,10.611,2571,74,2497,2.878,97.122
2021,36005006800,36,005,Bronx,006800,38125,2765,90,583,383,3.255,21.085,13.852,2765,1662,60.108,2765,138,501,4.991,18.119,944,219,725,23.199,76.801
2021,36005006900,36,005,Bronx,006900,32887,7255,885,2476,0,12.198,34.128,0.0,7255,5102,70.324,7255,589,902,8.119,12.433,2897,156,2741,5.385,94.615
2021,36005007000,36,005,Bronx,007000,53014,4235,653,1202,467,15.419,28.383,11.027,4235,1833,43.282,4235,315,525,7.438,12.397,1248,343,905,27.484,72.516
2021,36005007100,36,005,Bronx,007100,43079,2827,316,1062,65,11.178,37.566,2.299,2827,1827,64.627,2827,210,235,7.428,8.313,1091,417,674,38.222,61.778
2021,36005007200,36,005,Bronx,007200,54097,6430,776,1065,2465,12.068,16.563,38.336,6430,2555,39.736,6430,529,939,8.227,14.603,1689,479,1210,28.36,71.64
2021,36005007300,36,005,Bronx,007300,25619,4301,988,1549,0,22.971,36.015,0.0,4301,2674,62.172,4301,324,252,7.533,5.859,1483,14,1469,0.944,99.056
2021,36005007400,36,005,Bronx,007400,37352,3078,616,1237,0,20.013,40.188,0.0,3078,1963,63.775,3078,70,796,2.274,25.861,1285,496,789,38.599,61.401
2021,36005007500,36,005,Bronx,007500,30413,6295,1332,2265,119,21.16,35.981,1.89,6295,4259,67.657,6295,455,718,7.228,11.406,2267,456,1811,20.115,79.885
2021,36005007600,36,005,Bronx,007600,51625,5293,437,1245,700,8.256,23.522,13.225,5293,3157,59.645,5293,501,745,9.465,14.075,1829,390,1439,21.323,78.677
