GEOID,state,county,borough,tract,median_income_2020,pct_white_2020,pct_black_2020,pct_asian_2020,pct_hispanic_2020,pct_under5_2020,pct_65plus_2020,pct_owner_2020,pct_renter_2020,pop_total_2020,hh_total_2020,median_income_2021,pct_white_2021,pct_black_2021,pct_asian_2021,pct_hispanic_2021,pct_under5_2021,pct_65plus_2021,pct_owner_2021,pct_renter_2021,pop_total_2021,hh_total_2021,median_income_2022,pct_white_2022,pct_black_2022,pct_asian_2022,pct_hispanic_2022,pct_under5_2022,pct_65plus_2022,pct_owner_2022,pct_renter_2022,pop_total_2022,hh_total_2022,median_income_2023,pct_white_2023,pct_black_2023,pct_asian_2023,pct_hispanic_2023,pct_under5_2023,pct_65plus_2023,pct_owner_2023,pct_renter_2023,pop_total_2023,hh_total_2023
36005005100,36,005,Bronx,005100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25468,9.581,48.065,0.0,59.691,9.654,18.764,7.669,92.331,6795,2621
36005005200,36,005,Bronx,005200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35147,6.659,36.71,0.0,69.67,4.365,13.486,11.168,88.832,1787,788
36005005300,36,005,Bronx,005300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22352,11.249,50.5,0.0,46.214,3.873,8.377,0.0,100.0,4596,1595
36005005400,36,005,Bronx,005400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58452,1.734,31.549,2.507,64.361,12.1,11.346,16.863,83.137,5306,1702
36005005600,36,005,Bronx,005600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47628,2.292,16.239,4.228,71.0,3.319,16.081,12.976,87.024,2531,1025
36005005902,36,005,Bronx,005902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46902,26.117,23.029,2.037,49.474,6.932,16.064,29.938,70.062,3044,1286
36005006000,36,005,Bronx,006000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53371,4.344,21.639,0.0,84.672,3.443,14.262,10.649,89.351,1220,385
36005006100,36,005,Bronx,006100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75608,8.501,82.086,0.782,17.001,3.677,22.269,41.186,58.814,3835,1940
36005006200,36,005,Bronx,006200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27243,4.27,40.928,0.387,69.207,5.978,16.226,2.009,97.991,6206,2489
36005006301,36,005,Bronx,006301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58118,24.84,48.719,1.602,43.113,7.111,9.257,16.486,83.514,6244,2584
36005006302,36,005,Bronx,006302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,,,,,,,,,0,0
36005006400,36,005,Bronx,006400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40778,6.213,33.793,1.534,54.328,5.199,12.581,19.261,80.739,3847,1407
36005006500,36,005,Bronx,006500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24184,25.569,37.129,1.332,67.812,16.577,8.356,4.877,95.123,5182,2153
36005006700,36,005,Bronx,006700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,2.02,31.348,0.0,82.247,4.905,17.617,4.74,95.26,5892,2595
36005006800,36,005,Bronx,006800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33996,11.828,14.804,12.743,65.013,10.645,20.374,19.956,80.044,2621,917
36005006900,36,005,Bronx,006900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32199,9.733,37.584,0.582,65.251,6.131,12.83,5.742,94.258,6524,2804
36005007000,36,005,Bronx,007000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43672,10.926,23.566,9.164,52.821,7.046,15.782,25.637,74.363,4201,1373
36005007100,36,005,Bronx,007100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34853,12.451,32.67,3.084,66.003,4.45,14.871,33.189,66.811,2562,1386
36005007200,36,005,Bronx,007200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64464,8.862,15.174,47.533,33.718,5.958,14.411,36.229,63.771,5371,1623
36005007300,36,005,Bronx,007300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31442,9.199,46.147,1.581,52.843,6.652,9.221,4.704,95.296,4555,1552
36005007400,36,005,Bronx,007400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52641,8.686,46.937,0.0,61.353,3.109,22.402,35.29,64.71,3281,1380
36005007500,36,005,Bronx,007500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35892,17.744,33.074,0.932,64.344,10.897,12.105,16.047,83.953,6543,2449
36005007600,36,005,Bronx,007600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53650,5.097,26.669,10.683,60.711,6.545,13.541,22.74,77.26,5317,1825
36005007700,36,005,Bronx,007700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44447,15.782,26.102,0.0,82.816,4.91,10.12,21.489,78.511,1996,591
36005007800,36,005,Bronx,007800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58513,14.988,22.482,4.541,56.282,8.399,7.87,22.615,77.385,5858,1981
36005007900,36,005,Bronx,007900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36514,2.347,30.342,0.0,74.395,3.349,11.865,0.0,100.0,6987,2290
36005008300,36,005,Bronx,008300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53560,5.753,19.778,0.334,85.641,3.825,10.064,19.696,80.304,6588,2239
36005008400,36,005,Bronx,008400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57083,14.728,39.985,10.125,59.904,3.056,20.508,69.444,30.556,2716,1008
36005008500,36,005,Bronx,008500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43531,12.763,27.361,2.471,68.332,4.501,10.221,18.957,81.043,5665,2110
36005008600,36,005,Bronx,008600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24023,15.375,42.968,4.494,50.304,6.267,19.553,14.36,85.64,4117,1539
36005008700,36,005,Bronx,008700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40708,7.065,25.401,0.0,76.98,9.843,13.828,4.742,95.258,6299,2109
36005008900,36,005,Bronx,008900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36625,11.594,15.67,0.0,79.619,3.842,24.958,8.591,91.409,2993,1327
36005009000,36,005,Bronx,009000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33275,16.532,37.128,1.976,69.496,7.069,18.759,18.264,81.736,3593,1221
36005009200,36,005,Bronx,009200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56913,13.921,9.974,25.903,58.238,6.485,13.057,27.846,72.154,5675,1871
36005009301,36,005,Bronx,009301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54241,7.658,28.869,0.0,71.719,8.869,7.747,9.02,90.98,5615,1918
36005009302,36,005,Bronx,009302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,22.716,49.877,4.444,25.185,0.0,12.84,,,405,0
36005009600,36,005,Bronx,009600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53523,14.838,13.223,18.24,57.611,3.019,22.321,25.509,74.491,2352,835
36005009800,36,005,Bronx,009800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67500,22.38,26.662,5.315,59.436,3.68,27.179,44.048,55.952,4647,1680
36005011000,36,005,Bronx,011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,,,,,,,,,0,0
36005011502,36,005,Bronx,011502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30172,5.481,36.026,0.727,71.143,2.987,12.727,8.494,91.506,3850,1507
36005011701,36,005,Bronx,011701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35298,0.607,17.375,0.0,85.432,9.56,9.636,5.894,94.106,1318,492
36005011702,36,005,Bronx,011702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,,,,,,,,,0,0
36005011800,36,005,Bronx,011800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100500,70.098,4.568,2.059,38.281,4.171,13.055,59.259,40.741,5538,1566
36005011900,36,005,Bronx,011900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36250,5.128,40.245,0.0,56.852,8.541,11.988,4.589,95.411,5889,1874
36005012101,36,005,Bronx,012101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51205,7.149,32.113,0.557,68.503,7.53,11.544,14.313,85.687,3413,1055
36005012102,36,005,Bronx,012102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43032,5.084,54.114,0.0,60.736,8.495,17.993,2.555,97.445,1495,548
36005012300,36,005,Bronx,012300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36154,4.374,54.472,1.222,45.626,4.741,8.993,13.392,86.608,4092,1710
36005012500,36,005,Bronx,012500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58333,8.659,17.39,0.0,79.064,10.83,5.403,23.484,76.516,4146,1418
36005012701,36,005,Bronx,012701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49784,8.973,26.164,0.0,76.268,10.86,6.918,29.806,70.194,2385,775
36005012901,36,005,Bronx,012901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35521,10.074,24.9,0.0,71.925,11.272,8.249,2.299,97.701,5261,1653
36005013000,36,005,Bronx,013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65357,48.834,0.677,1.354,71.934,2.333,17.005,52.928,47.072,1329,444
36005013100,36,005,Bronx,013100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18408,11.881,42.169,0.0,64.261,3.608,13.282,10.179,89.821,5210,2240
36005013200,36,005,Bronx,013200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108582,31.378,16.461,9.641,52.708,4.098,18.257,67.65,32.35,7126,2609
36005013300,36,005,Bronx,013300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31762,7.28,36.622,7.28,54.248,10.26,10.483,6.481,93.519,5838,2191
36005013500,36,005,Bronx,013500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30865,17.602,57.876,1.76,43.308,10.683,16.631,4.512,95.488,3295,1485
36005013800,36,005,Bronx,013800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90032,55.901,14.609,10.754,40.108,11.363,17.856,69.76,30.24,2957,1250
36005014100,36,005,Bronx,014100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35238,3.438,46.46,0.364,45.644,4.924,8.115,5.918,94.082,6864,2957
36005014300,36,005,Bronx,014300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16734,4.57,41.78,6.884,53.65,7.774,8.071,0.0,100.0,1685,697
36005014400,36,005,Bronx,014400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32197,9.389,36.319,0.851,65.8,9.374,16.179,13.072,86.928,6465,2318
36005014500,36,005,Bronx,014500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28022,5.884,67.058,0.0,32.927,4.177,13.811,1.302,98.698,6560,2381
36005014701,36,005,Bronx,014701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23500,5.863,61.231,0.582,33.469,6.562,16.152,1.754,98.246,5151,2052
36005014702,36,005,Bronx,014702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21533,10.411,46.199,0.0,64.514,10.05,17.653,1.967,98.033,4985,1881
36005014900,36,005,Bronx,014900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35213,12.156,39.874,0.0,54.658,6.309,10.347,18.762,81.238,4755,1535
36005015100,36,005,Bronx,015100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30558,8.626,56.742,0.0,49.889,6.114,11.692,16.869,83.131,5414,2146
